,Spaceship,Captain,Fuel
0,Cloakcruiser,Rick Dangerous,86
1,Overvessel,Thomas Rich,22
2,Cloakcarrier,Katia Cute,49
3,Lightfreight,Katrine Cowboy,65
4,Robotransport,Mike Happy,51
5,Doublebird,Niels Rich,0
6,Mcfalcon,Charlotte Dangerous,84
7,Doublebird,Rick Calm,96
8,Overpoweredfalcon,Mike Calm,36
9,Mccruiser,Pernille Happy,74
10,Overowl,Niels Rich,69
11,Skyvessel,Katrine Lazer,33
12,Skytransport,Katia Calm,4
13,Quicktransport,Niels Lazer,75
14,Cloudvessel,Mike Dangerous,97
15,Doubleeagle,Charlotte Charming,35
16,Lazerowl,Charlotte Brain,44
17,Mcbird,Thomas Lucky,37
18,Lightcarrier,Thomas Charming,22
19,Cloudcruiser,Kåre Happy,1
20,Mccruiser,Thomas Cowboy,67
21,Lazercruiser,Rick Cowboy,97
22,Quickowl,Niels Calm,38
23,Cloudeagle,Katrine Lucky,58
24,Quickbird,Niels Cute,20
25,Flashangel,Pernille Cowboy,14
26,Cloudbird,Mike Rich,81
27,Quickcruiser,Mike Rich,43
28,Skycruiser,Katrine Lucky,94
29,Doubleeagle,Niels Brain,34
30,Robofreight,Kåre Charming,90
31,Lazervessel,Mike Lazer,0
32,Cloakfalcon,Charlotte Happy,32
33,Mcship,Susan Rich,75
34,Lightangel,Katrine Cowboy,62
35,Superbird,Katrine Rich,21
36,Cloudowl,Susan Dangerous,54
37,Powerfalcon,Thomas Dangerous,0
38,Mcfreight,Mike Brain,87
39,Flashcarrier,Thomas Cowboy,1
40,Cloudfreight,Charlotte Happy,16
41,Slowcruiser,Kåre Calm,35
42,Quickship,Susan Rich,89
43,Doublebird,Rick Brain,78
44,Skyship,Pernille Rich,87
45,Mctransport,Katrine Lucky,48
46,Skyfalcon,Susan Rich,67
47,Lightship,Mike Cowboy,9
48,Cloudeagle,Thomas Charming,43
49,Flashfalcon,Niels Dangerous,82
50,Mcship,Thomas Charming,76
51,Lazertransport,Kåre Rich,81
52,Cloakcarrier,Thomas Cowboy,44
53,Powerfreight,Pernille Lucky,78
54,Flashvessel,Charlotte Cute,44
55,Superfalcon,Thomas Rich,25
56,Flasheagle,Katrine Dangerous,8
57,Overeagle,Kåre Cute,27
58,Cloudowl,Mike Charming,71
59,Overcarrier,Kåre Cute,63
60,Cloakfreight,Thomas Charming,7
61,Overpoweredphantom,Susan Dangerous,72
62,Slowcarrier,Kåre Calm,17
63,Powerfreight,Charlotte Calm,57
64,Lazerangel,Pernille Cute,18
65,Supership,Rick Rich,52
66,Doubleeagle,Mike Cowboy,99
67,Supership,Pernille Lucky,53
68,Quickship,Pernille Calm,35
69,Doubleangel,Rick Brain,68
70,Overpoweredfalcon,Kåre Cowboy,31
71,Skyeagle,Katia Happy,14
72,Mceagle,Kåre Calm,91
73,Overpoweredowl,Niels Charming,74
74,Robocarrier,Niels Brain,11
75,Flashphantom,Pernille Charming,27
76,Overphantom,Mike Charming,33
77,Cloakcruiser,Kåre Calm,43
78,Skycruiser,Pernille Charming,25
79,Powertransport,Rick Dangerous,89
80,Overpoweredcarrier,Katrine Lazer,96
81,Flashbird,Katrine Cute,70
82,Doublefreight,Rick Calm,52
83,Overpoweredtransport,Kåre Calm,16
84,Powerangel,Susan Lucky,58
85,Skyeagle,Charlotte Cute,42
86,Overtransport,Niels Happy,59
87,Supercarrier,Niels Cute,42
88,Lightbird,Charlotte Dangerous,6
89,Quickfreight,Pernille Dangerous,58
90,Doublebird,Charlotte Brain,76
91,Quickowl,Thomas Cowboy,61
92,Mcowl,Charlotte Calm,79
93,Overpoweredphantom,Charlotte Lucky,74
94,Mceagle,Niels Cowboy,74
95,Slowowl,Thomas Dangerous,37
96,Cloudtransport,Katia Charming,33
97,Cloakeagle,Niels Lazer,58
98,Robofreight,Niels Cowboy,26
99,Slowcruiser,Thomas Cute,29
